Product Name,Company,Supplier,Current Stock,Batch,Unit,Cost Price,M.R.P.,Purchase Price,Rec.Date,EXP,Inv.No,Inv.Date
CATAFLY 10 ML,ESSENTIAL PHARMA,SHRI RANI SATI ASSOCIATES,1.0,SE-1275,TAB.,67.69,90.0,64.3,09-Oct-22,2023-12-01,A003346,08-Oct-22
ZENERIL 25 1*10,RELIANCE,TULSYAN PHARMA,2.0,0783,TAB.,37.6,50.0,35.71,19-Jun-21,2023-12-01,G09772,18-Jun-21
ZEMPRED-16 1*10,SUN PHARMA,ASHISH MEDICAL AGENCIES,1.2,SIC0242B,TAB.,76.45,99.54,71.1,09-May-21,2023-12-01,0005290,08-May-21
ZANOCIN OZ 1*10,SUN PHARMACEUTICALS,SHRI RADHEY MEDICAL AGENCY,2.2,GMZ0004,TAB.,112.49,168.0,120.0,22-Sep-22,2023-12-01,G20824,21-Sep-22
ZADY 250 1*10,MANKIND,LARI DRUG DISTRIBUTORS,0.1,H5AGV006,TAB.,68.97,110.05,78.61,30-Nov-22,2023-12-01,a037013,29-Nov-22
OSTOCALCIUM SYP 1*200ML,GSK,SHRI RADHEY MEDICAL AGENCY,1.0,NB22066,SYP,128.36,166.7,121.92,20-Jan-23,2023-12-01,G36853,19-Jan-23
MEDITREX 15 1*10,OVERSEAS H.CARE,NARAYAN MEDICAL AGENCY,0.4,MRX2201,TAB.,190.54,281.7,214.63,23-Feb-23,2023-12-01,A017761,22-Feb-23
VOGLISTAR MD 0.3 1*10,NOBELIS MANKIND,TRIPTI MEDICAL AGENCY,2.0,K2ALV001,TAB.,75.89,100.91,72.08,05-Apr-23,2023-12-01,G00220,04-Apr-23
DULCOFLEX ADULT SUPP 1*5,SANOFI,AGRAWAL MEDICINE,6.0,SA22001,SUPP,23.43,33.06,22.02,19-Apr-22,2023-12-01,A004120,18-Apr-22
VOVERAN-50 GE 15*R,NOVARTIS/CIBA,SHRI RADHEY MEDICAL AGENCY,0.2,103GLBF2,TAB.,80.19,108.95,77.82,15-Aug-22,2023-12-01,P03024,14-Aug-22
BECOSULES PLUS 1*30,SANOFI,AMBEY MEDICAL AGENCIES,1.2,2233007U,TAB.,132.76,192.98,137.84,23-Feb-23,2023-12-01,A035874,22-Feb-23
ABHAYARISHTA SYP 680 ML,DABUR,SHREE MAHAVEER AUSADHALYA,1.0,BD00804,SYP,146.0,225.0,146.0,06-Jul-23,2023-12-01,01072023,06-Jul-23
NERVMAX-SR75 10*96,ALKEM,LARI DRUG DISTRIBUTORS,2.0,22442223,TAB.,157.18,209.0,149.29,11-Dec-22,2023-12-01,A038804,10-Dec-22
OSTOKEM-60K 1*4,DERMAKARE,P K PHARMA,0.0,S220874,TAB.,67.69,90.0,64.3,22-Mar-23,2023-12-01,A011881,21-Mar-23
ACILOC RD 15*,CADILA,AMBEY MEDICAL AGENCIES,7.0,JKAD22007,TAB.,48.31,70.2,50.16,17-May-23,2023-12-01,A005560,16-May-23
OLATIG 10 10*,TRIGAT LIFE SCIENCE,JAI MATA JI MEDICAL HALL,1.0,LGL01,TAB.,45.17,59.43,42.9,25-Dec-22,2023-12-01,L001376,24-Dec-22
ZERODOL 10*161,IPCA,NARAYAN MEDICAL AGENCY,4.8,CSW102001BH,TAB.,38.27,51.45,36.74,26-Oct-22,2023-12-01,A010666,26-Oct-22
MONTEK-AB 10*R,SUN,TULSYAN PHARMA,0.3,GKC1116A,TAB.,168.14,226.0,161.43,27-Nov-21,2023-12-01,G28897,26-Nov-21
VOMIKIND INJ 2 ML,MANKIND,LARI DRUG DISTRIBUTORS,5.0,E5AAV066,TAB.,4.92,13.09,9.35,18-Oct-22,2023-12-01,0607,17-Oct-22
DONEP-M 5MG 15*28,ALKEM (PENTACARE),SHRI RADHEY MEDICAL AGENCY,1.0,22440286,TAB,198.25,290.0,207.14,28-Mar-23,2023-12-01,G45984,27-Mar-23
NEBZMART IL 2.5 ML,GLENMARK,VIKASH MEDICAL AGENCIES,1.0,FA20001,TAB.,43.56,69.5,49.64,13-Jul-22,2023-12-01,0007166,12-Jul-22
NEBI H 1*10,ARISTO,LARI DRUG DISTRIBUTORS,1.0,MPA220093,TAB.,75.21,100.0,71.43,21-Oct-22,2023-12-01,A030824,20-Oct-22
MACPRIL 5 MG 1*10,MACLEODS,SHRI RADHEY MEDICAL AGENCY,0.4,KMQ2201A,TAB.,66.11,87.92,62.8,21-May-23,2023-12-01,G06290,20-May-23
CEFTUM 250MG CAP 4*26,GSK,SHRI RADHEY MEDICAL AGENCY,0.2,GCTB22002,CAP,187.98,267.0,190.72,24-Dec-22,2023-12-01,G33081,23-Dec-22
NEBICARD SM 1*10,TORRENT,AMBEY MEDICAL AGENCIES,2.0,2EF1J001,TAB.,148.86,197.95,141.39,08-Jul-22,2023-12-01,A010071,07-Jul-22
PARI CR 37.5 1*15,IPCA,NAVEEN MEDICO AGENCIES,1.0,IKF022002AS,TAB.,327.48,465.15,332.26,04-Oct-22,2023-12-01,A018820,04-Oct-22
VOLIBO 0.2 10,SUN PHARMA,NARAYAN MEDICAL AGENCY,0.6,SIC1940A,TAB.,74.34,101.0,72.14,12-Apr-22,2023-12-01,A000550,11-Apr-22
DONEP M- FORTE 1*15,ALKEM,LARI DRUG DISTRIBUTORS,1.0,22440288,TAB.,269.97,359.0,256.43,17-Nov-22,2023-12-01,A034991,16-Nov-22
PANTONOP DSR 1*10,DELKIN,DHANUKA MEDICAL AGENCY,3.5,RQYAE01,TAB.,69.18,92.0,65.71,20-Jan-23,2023-12-01,A025729,19-Jan-23
